Date,Price,Open,High,Low,Vol.,Change %
04/24/2011,"1,565.60","1,511.45","1,571.30","1,494.95",,3.81%
04/17/2011,"1,508.13","1,486.45","1,512.95","1,477.60",,1.46%
04/10/2011,"1,486.50","1,475.15","1,489.90","1,445.49",,0.77%
04/03/2011,"1,475.10","1,430.35","1,476.85","1,429.40",,3.27%
03/27/2011,"1,428.38","1,426.35","1,439.80","1,410.45",,-0.09%
03/20/2011,"1,429.65","1,425.46","1,448.40","1,422.79",,0.71%
03/13/2011,"1,419.55","1,422.09","1,433.89","1,382.90",,0.15%
03/06/2011,"1,417.40","1,428.05","1,444.80","1,403.12",,-0.83%
02/27/2011,"1,429.30","1,409.05","1,440.61","1,404.76",,1.42%
02/20/2011,"1,409.25","1,388.49","1,418.46","1,388.49",,1.58%
02/13/2011,"1,387.30","1,359.10","1,392.15","1,354.20",,2.30%
02/06/2011,"1,356.10","1,348.15","1,368.51","1,343.13",,0.51%
01/30/2011,"1,349.25","1,337.05","1,358.43","1,323.40",,1.04%
01/23/2011,"1,335.35","1,343.40","1,353.56","1,308.56",,-0.53%
01/16/2011,"1,342.51","1,359.61","1,379.26","1,337.95",,-1.42%
01/09/2011,"1,361.85","1,369.30","1,393.30","1,355.49",,-0.57%
01/02/2011,"1,369.60","1,421.80","1,424.57","1,353.30",,-3.65%
12/26/2010,"1,421.45","1,386.25","1,423.15","1,374.25",,2.65%
12/19/2010,"1,384.75","1,376.90","1,392.44","1,372.55",,0.68%
12/12/2010,"1,375.41","1,383.91","1,408.45","1,362.11",,-0.77%
12/05/2010,"1,386.05","1,415.46","1,431.35","1,371.85",,-2.05%
11/28/2010,"1,415.05","1,362.92","1,415.91","1,353.59",,3.71%
11/21/2010,"1,364.42","1,354.53","1,382.38","1,348.38",,0.81%
11/14/2010,"1,353.50","1,366.85","1,377.06","1,329.95",,-1.13%
11/07/2010,"1,368.95","1,395.05","1,424.65","1,360.26",,-1.79%
10/31/2010,"1,393.90","1,360.69","1,398.35","1,324.14",,2.53%
10/24/2010,"1,359.55","1,331.39","1,359.95","1,319.24",,2.36%
10/17/2010,"1,328.20","1,371.50","1,375.80","1,316.09",,-2.99%
10/10/2010,"1,369.15","1,346.40","1,388.10","1,340.85",,1.66%
10/03/2010,"1,346.80","1,317.90","1,365.10","1,312.25",,2.12%
09/26/2010,"1,318.80","1,299.00","1,322.30","1,284.10",,1.68%
09/19/2010,"1,296.95","1,276.90","1,300.95","1,270.85",,1.73%
09/12/2010,"1,274.90","1,246.90","1,284.25","1,242.45",,2.28%
09/05/2010,"1,246.45","1,248.60","1,262.75","1,237.05",,-0.05%
08/29/2010,"1,247.10","1,237.80","1,255.95","1,233.05",,0.72%
08/22/2010,"1,238.20","1,229.10","1,246.00","1,212.10",,0.83%
