"Date","Price","Open","High","Low","Vol.","Change.."
2021-08-01,1762.69,"1,814.34","1,832.10","1,758.33","","-2.81%"
2021-08-08,1779.15,"1,763.34","1,780.53","1,684.77","","0.93%"
2021-08-15,1780.87,"1,778.44","1,795.77","1,770.38","","0.10%"
2021-08-22,1816.67,"1,780.55","1,819.38","1,776.03","","2.01%"
2021-08-29,1826.19,"1,817.55","1,834.55","1,801.47","","0.52%"
2021-09-05,1787.34,"1,828.66","1,830.60","1,781.98","","-2.13%"
2021-09-12,1754.16,"1,788.55","1,808.99","1,745.04","","-1.86%"
2021-09-19,1749.86,"1,754.30","1,787.51","1,737.84","","-0.24%"
2021-09-26,1760.36,"1,751.24","1,764.63","1,721.07","","0.60%"
2021-10-03,1756.67,"1,762.15","1,781.60","1,745.45","","-0.21%"
2021-10-10,1767.26,"1,757.34","1,800.91","1,749.68","","0.60%"
2021-10-17,1792.48,"1,767.74","1,814.22","1,759.68","","1.43%"
2021-10-24,1782.81,"1,794.00","1,810.49","1,771.70","","-0.54%"
2021-10-31,1816.73,"1,783.24","1,818.61","1,758.45","","1.90%"
2021-11-07,1864.04,"1,818.44","1,868.73","1,812.08","","2.60%"
2021-11-14,1844.6,"1,868.15","1,877.40","1,842.98","","-1.04%"
2021-11-21,1791.81,"1,846.74","1,849.49","1,778.44","","-2.86%"
2021-11-28,1783.74,"1,790.05","1,809.38","1,761.68","","-0.45%"
2021-12-05,1782.51,"1,784.79","1,793.60","1,769.43","","-0.07%"
2021-12-12,1797.68,"1,782.94","1,814.63","1,753.84","","0.85%"
2021-12-19,1808.11,"1,799.40","1,812.70","1,784.58","","0.58%"
2021-12-26,1828.39,"1,808.19","1,830.58","1,788.94","","1.12%"
2022-01-02,1795.63,"1,830.14","1,832.06","1,782.63","","-1.79%"
2022-01-09,1817.22,"1,795.41","1,829.66","1,790.43","","1.20%"
2022-01-16,1833.24,"1,817.90","1,848.36","1,805.53","","0.88%"
2022-01-23,1791.03,"1,834.49","1,853.98","1,779.88","","-2.30%"
2022-01-30,1807.49,"1,791.19","1,815.44","1,785.03","","0.92%"
2022-02-06,1859.96,"1,806.99","1,865.63","1,806.94","","2.90%"
2022-02-13,1897.87,"1,861.55","1,902.84","1,844.27","","2.04%"
2022-02-20,1887.56,"1,900.40","1,974.48","1,879.05","","-0.54%"
2022-02-27,1968.45,"1,920.86","1,970.80","1,890.59","","4.29%"
2022-03-06,1985.29,"1,977.09","2,070.29","1,958.80","","0.86%"
2022-03-13,1921.09,"1,985.49","1,990.33","1,895.22","","-3.23%"
2022-03-20,1957.4,"1,922.24","1,966.19","1,910.89","","1.89%"
